Layer,Schema,Object Name,Column Name,Data Type,Nullable,Description,Source / Lineage Notes
BRONZE,bronze_layer,dept,deptno,integer,NO,,
BRONZE,bronze_layer,dept,dname,character varying,YES,,
BRONZE,bronze_layer,dept,loc,character varying,YES,,
BRONZE,bronze_layer,emp,empno,integer,NO,,
BRONZE,bronze_layer,emp,ename,character varying,YES,,
BRONZE,bronze_layer,emp,job,character varying,YES,,
BRONZE,bronze_layer,emp,mgr,numeric,YES,,
BRONZE,bronze_layer,emp,hiredate,date,YES,,
BRONZE,bronze_layer,emp,sal,numeric,YES,,
BRONZE,bronze_layer,emp,commission,numeric,YES,,
BRONZE,bronze_layer,emp,deptno,integer,YES,,
BRONZE,bronze_layer,emp_projects,emp_projectno,integer,NO,,
BRONZE,bronze_layer,emp_projects,empno,integer,NO,,
BRONZE,bronze_layer,emp_projects,projectno,integer,NO,,
BRONZE,bronze_layer,emp_projects,start_date,date,YES,,
BRONZE,bronze_layer,emp_projects,end_date,date,YES,,
BRONZE,bronze_layer,projects,projectno,integer,NO,,
BRONZE,bronze_layer,projects,project_name,character varying,YES,,
BRONZE,bronze_layer,projects,budget,numeric,YES,,
BRONZE,bronze_layer,projects,monthly_commission,numeric,YES,,
BRONZE,bronze_layer,salgrade,grade,integer,YES,,
BRONZE,bronze_layer,salgrade,losal,integer,YES,,
BRONZE,bronze_layer,salgrade,hisal,integer,YES,,
GOLD,gold_layer,vw_department_salary_summary,deptno,integer,YES,,
GOLD,gold_layer,vw_department_salary_summary,department_name,character varying,YES,,
GOLD,gold_layer,vw_department_salary_summary,department_location,character varying,YES,,
GOLD,gold_layer,vw_department_salary_summary,employee_count,bigint,YES,,
GOLD,gold_layer,vw_department_salary_summary,total_salary,numeric,YES,,
GOLD,gold_layer,vw_department_salary_summary,average_salary,numeric,YES,,
GOLD,gold_layer,vw_department_salary_summary,minimum_salary,numeric,YES,,
GOLD,gold_layer,vw_department_salary_summary,maximum_salary,numeric,YES,,
GOLD,gold_layer,vw_department_salary_summary,total_commission,numeric,YES,,
GOLD,gold_layer,vw_department_salary_summary,total_compensation,numeric,YES,,
GOLD,gold_layer,vw_employee_department_report,empno,integer,YES,,
GOLD,gold_layer,vw_employee_department_report,employee_name,character varying,YES,,
GOLD,gold_layer,vw_employee_department_report,job,character varying,YES,,
GOLD,gold_layer,vw_employee_department_report,manager_empno,numeric,YES,,
GOLD,gold_layer,vw_employee_department_report,hiredate,date,YES,,
GOLD,gold_layer,vw_employee_department_report,salary,numeric,YES,,
GOLD,gold_layer,vw_employee_department_report,commission,numeric,YES,,
GOLD,gold_layer,vw_employee_department_report,total_compensation,numeric,YES,,
GOLD,gold_layer,vw_employee_department_report,deptno,integer,YES,,
GOLD,gold_layer,vw_employee_department_report,department_name,character varying,YES,,
GOLD,gold_layer,vw_employee_department_report,department_location,character varying,YES,,
GOLD,gold_layer,vw_employee_department_report,years_of_service,numeric,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,emp_projectno,integer,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,empno,integer,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,employee_name,character varying,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,job,character varying,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,department_name,character varying,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,projectno,integer,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,project_name,character varying,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,budget,numeric,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,monthly_commission,numeric,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,start_date,date,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,end_date,date,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,project_status,text,YES,,
GOLD,gold_layer,vw_employee_project_assignment_report,project_duration_days,integer,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,empno,integer,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,employee_name,character varying,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,job,character varying,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,salary,numeric,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,salary_grade,integer,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,grade_min_salary,integer,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,grade_max_salary,integer,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,department_name,character varying,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,department_location,character varying,YES,,
GOLD,gold_layer,vw_employee_salary_grade_report,salary_position,text,YES,,
GOLD,gold_layer,vw_project_summary_report,projectno,integer,YES,,
GOLD,gold_layer,vw_project_summary_report,project_name,character varying,YES,,
GOLD,gold_layer,vw_project_summary_report,budget,numeric,YES,,
GOLD,gold_layer,vw_project_summary_report,monthly_commission,numeric,YES,,
GOLD,gold_layer,vw_project_summary_report,assigned_employee_count,bigint,YES,,
GOLD,gold_layer,vw_project_summary_report,project_first_start_date,date,YES,,
GOLD,gold_layer,vw_project_summary_report,project_last_end_date,date,YES,,
GOLD,gold_layer,vw_project_summary_report,total_employee_salary,numeric,YES,,
GOLD,gold_layer,vw_project_summary_report,total_employee_commission,numeric,YES,,
GOLD,gold_layer,vw_project_summary_report,total_employee_compensation,numeric,YES,,
GOLD,gold_layer,vw_project_summary_report,project_status,text,YES,,
SILVER,silver_layer,dept,deptno,integer,NO,,
SILVER,silver_layer,dept,dname,character varying,YES,,
SILVER,silver_layer,dept,loc,character varying,YES,,
SILVER,silver_layer,emp,empno,integer,NO,,
SILVER,silver_layer,emp,ename,character varying,YES,,
SILVER,silver_layer,emp,job,character varying,YES,,
SILVER,silver_layer,emp,mgr,numeric,YES,,
SILVER,silver_layer,emp,hiredate,date,YES,,
SILVER,silver_layer,emp,sal,numeric,YES,,
SILVER,silver_layer,emp,commission,numeric,YES,,
SILVER,silver_layer,emp,deptno,integer,YES,,
SILVER,silver_layer,emp_projects,emp_projectno,integer,NO,,
SILVER,silver_layer,emp_projects,empno,integer,NO,,
SILVER,silver_layer,emp_projects,projectno,integer,NO,,
SILVER,silver_layer,emp_projects,start_date,date,YES,,
SILVER,silver_layer,emp_projects,end_date,date,YES,,
SILVER,silver_layer,projects,projectno,integer,NO,,
SILVER,silver_layer,projects,project_name,character varying,YES,,
SILVER,silver_layer,projects,budget,numeric,YES,,
SILVER,silver_layer,projects,monthly_commission,numeric,YES,,
SILVER,silver_layer,salgrade,grade,integer,NO,,
SILVER,silver_layer,salgrade,losal,integer,YES,,
SILVER,silver_layer,salgrade,hisal,integer,YES,,
